Memory Length4000;;;;;;;
Trigger Level0.000E+00;;;;;;;
SourceCH1;;;;;;;
Probe1X;;;;;;;
Vertical UnitsV;;;;;;;
Vertical Scale;1.00E+00;;;;;;
Vertical Position;-4.00E-02;;;;;;
Horizontal Unitss;;;;;;;
Horizontal Scale5.000E-02;;;;;;;
Horizontal Position0.000E+00;;;;;;;
Horizontal ModeRoll Mode;;;;;;;
Sampling Period;2.00E-04;;;;;;
FirmwareV1.12;;;;;;;
Time ;;Escalas de tiempo;Tiempo(s);Waveform Data Ch1;Ch1 (V);Waveform Data Ch1;Ch2 (V)
ModeFast;;;;;;;
Waveform Data;;;;;;;
26;;260;5.20E-02;1.04E+00;4.16E-02;;
25;;261;5.22E-02;1.00E+00;4.00E-02;;
25;;262;5.24E-02;1.00E+00;4.00E-02;;
25;;263;5.26E-02;1.00E+00;4.00E-02;;
26;;264;5.28E-02;1.04E+00;4.16E-02;;
26;;265;5.30E-02;1.04E+00;4.16E-02;;
25;;266;5.32E-02;1.00E+00;4.00E-02;;
26;;267;5.34E-02;1.04E+00;4.16E-02;;
26;;268;5.36E-02;1.04E+00;4.16E-02;;
26;;269;5.38E-02;1.04E+00;4.16E-02;;
25;;270;5.40E-02;1.00E+00;4.00E-02;;
26;;271;5.42E-02;1.04E+00;4.16E-02;;
25;;272;5.44E-02;1.00E+00;4.00E-02;;
26;;273;5.46E-02;1.04E+00;4.16E-02;;
26;;274;5.48E-02;1.04E+00;4.16E-02;;
25;;275;5.50E-02;1.00E+00;4.00E-02;;
26;;276;5.52E-02;1.04E+00;4.16E-02;;
25;;277;5.54E-02;1.00E+00;4.00E-02;;
26;;278;5.56E-02;1.04E+00;4.16E-02;;
26;;279;5.58E-02;1.04E+00;4.16E-02;;
26;;280;5.60E-02;1.04E+00;4.16E-02;;
27;;281;5.62E-02;1.08E+00;4.32E-02;;
26;;282;5.64E-02;1.04E+00;4.16E-02;;
26;;283;5.66E-02;1.04E+00;4.16E-02;;
26;;284;5.68E-02;1.04E+00;4.16E-02;;
25;;285;5.70E-02;1.00E+00;4.00E-02;;
25;;286;5.72E-02;1.00E+00;4.00E-02;;
25;;287;5.74E-02;1.00E+00;4.00E-02;;
26;;288;5.76E-02;1.04E+00;4.16E-02;;
26;;289;5.78E-02;1.04E+00;4.16E-02;;
26;;290;5.80E-02;1.04E+00;4.16E-02;;
26;;291;5.82E-02;1.04E+00;4.16E-02;;
26;;292;5.84E-02;1.04E+00;4.16E-02;;
26;;293;5.86E-02;1.04E+00;4.16E-02;;
25;;294;5.88E-02;1.00E+00;4.00E-02;;
26;;295;5.90E-02;1.04E+00;4.16E-02;;
26;;296;5.92E-02;1.04E+00;4.16E-02;;
25;;297;5.94E-02;1.00E+00;4.00E-02;;
26;;298;5.96E-02;1.04E+00;4.16E-02;;
26;;299;5.98E-02;1.04E+00;4.16E-02;;
25;;300;6.00E-02;1.00E+00;4.00E-02;;
25;;301;6.02E-02;1.00E+00;4.00E-02;;
26;;302;6.04E-02;1.04E+00;4.16E-02;;
25;;303;6.06E-02;1.00E+00;4.00E-02;;
26;;304;6.08E-02;1.04E+00;4.16E-02;;
25;;305;6.10E-02;1.00E+00;4.00E-02;;
25;;306;6.12E-02;1.00E+00;4.00E-02;;
26;;307;6.14E-02;1.04E+00;4.16E-02;;
25;;308;6.16E-02;1.00E+00;4.00E-02;;
25;;309;6.18E-02;1.00E+00;4.00E-02;;
25;;310;6.20E-02;1.00E+00;4.00E-02;;
25;;311;6.22E-02;1.00E+00;4.00E-02;;
25;;312;6.24E-02;1.00E+00;4.00E-02;;
25;;313;6.26E-02;1.00E+00;4.00E-02;;
26;;314;6.28E-02;1.04E+00;4.16E-02;;
25;;315;6.30E-02;1.00E+00;4.00E-02;;
25;;316;6.32E-02;1.00E+00;4.00E-02;;
24;;317;6.34E-02;9.60E-01;3.84E-02;;
25;;318;6.36E-02;1.00E+00;4.00E-02;;
25;;319;6.38E-02;1.00E+00;4.00E-02;;
25;;320;6.40E-02;1.00E+00;4.00E-02;;
25;;321;6.42E-02;1.00E+00;4.00E-02;;
25;;322;6.44E-02;1.00E+00;4.00E-02;;
25;;323;6.46E-02;1.00E+00;4.00E-02;;
25;;324;6.48E-02;1.00E+00;4.00E-02;;
25;;325;6.50E-02;1.00E+00;4.00E-02;;
24;;326;6.52E-02;9.60E-01;3.84E-02;;
25;;327;6.54E-02;1.00E+00;4.00E-02;;
24;;328;6.56E-02;9.60E-01;3.84E-02;;
25;;329;6.58E-02;1.00E+00;4.00E-02;;
25;;330;6.60E-02;1.00E+00;4.00E-02;;
24;;331;6.62E-02;9.60E-01;3.84E-02;;
24;;332;6.64E-02;9.60E-01;3.84E-02;;
24;;333;6.66E-02;9.60E-01;3.84E-02;;
24;;334;6.68E-02;9.60E-01;3.84E-02;;
